NACA 0006-80.0_NACA 6412-20.0
 1.00005    0.00075
 0.95016    0.00677
 0.90019    0.01240
 0.80006    0.02252
 0.69971    0.03115
 0.59917    0.03824
 0.49850    0.04360
 0.39772    0.04689
 0.29693    0.04705
 0.24659    0.04559
 0.19636    0.04289
 0.14628    0.03868
 0.09647    0.03251
 0.07172    0.02841
 0.04714    0.02326
 0.02290    0.01634
 0.01106    0.01147
 -0.00012    0.00087
 0.01136    -0.00940
 0.02372    -0.01341
 0.04876    -0.01809
 0.07383    -0.02091
 0.09889    -0.02276
 0.14897    -0.02482
 0.19902    -0.02554
 0.24906    -0.02546
 0.29910    -0.02486
 0.39921    -0.02285
 0.49936    -0.02010
 0.59951    -0.01669
 0.69968    -0.01295
 0.79986    -0.00904
 0.90004    -0.00500
 0.95012    -0.00292
 1.00000    -0.00050

