NACA 0006-20.0_NACA 6412-80.0
 1.00020    0.00112
 0.95063    0.01499
 0.90076    0.02788
 0.80024    0.05071
 0.69884    0.06963
 0.59670    0.08450
 0.49398    0.09497
 0.39088    0.10049
 0.28770    0.09818
 0.23637    0.09323
 0.18543    0.08548
 0.13514    0.07455
 0.08588    0.05982
 0.06187    0.05063
 0.03856    0.03973
 0.01659    0.02616
 0.00675    0.01746
 -0.00048    0.00350
 0.00793    -0.00917
 0.01989    -0.01443
 0.04503    -0.01907
 0.07033    -0.02063
 0.09557    -0.02080
 0.14589    -0.01908
 0.19608    -0.01609
 0.24623    -0.01272
 0.29639    -0.00943
 0.39685    -0.00435
 0.49743    -0.00099
 0.59806    0.00168
 0.69874    0.00316
 0.79944    0.00319
 0.90014    0.00171
 0.95050    0.00039
 1.00000    -0.00013

