NACA 0006-50.0_NACA 6412-50.0
 1.00012    0.00094
 0.95005    0.01099
 0.89982    0.02033
 0.79980    0.03671
 0.69782    0.05067
 0.59617    0.06162
 0.49414    0.06947
 0.39191    0.07373
 0.28969    0.07236
 0.23888    0.06902
 0.18863    0.06372
 0.13889    0.05612
 0.08845    0.04500
 0.06417    0.03814
 0.04034    0.02985
 0.01769    0.01945
 0.00724    0.01212
 0.00029    -0.00068
 0.01196    -0.01074
 0.02443    -0.01469
 0.04935    -0.01880
 0.07447    -0.02079
 0.09941    -0.02171
 0.15020    -0.02173
 0.19949    -0.02064
 0.24924    -0.01894
 0.29950    -0.01701
 0.40006    -0.01352
 0.49997    -0.01050
 0.59978    -0.00749
 0.70011    -0.00490
 0.80075    -0.00295
 0.90019    -0.00165
 0.95009    -0.00123
 1.00000    -0.00032

