NACA 0006-60.0_NACA 6412-40.0
 1.00010    0.00087
 0.95031    0.00951
 0.90038    0.01756
 0.80012    0.03192
 0.69942    0.04398
 0.59835    0.05366
 0.49699    0.06072
 0.39544    0.06476
 0.29385    0.06409
 0.24318    0.06147
 0.19272    0.05708
 0.14257    0.05064
 0.09294    0.04161
 0.06844    0.03581
 0.04428    0.02875
 0.02079    0.01961
 0.00963    0.01346
 -0.00024    0.00175
 0.01021    -0.00932
 0.02244    -0.01375
 0.04751    -0.01842
 0.07266    -0.02082
 0.09778    -0.02210
 0.14794    -0.02290
 0.19804    -0.02239
 0.24811    -0.02121
 0.29820    -0.01972
 0.39842    -0.01669
 0.49871    -0.01373
 0.59903    -0.01057
 0.69937    -0.00758
 0.79972    -0.00496
 0.90007    -0.00277
 0.95025    -0.00182
 1.00000    -0.00038

